STX.N21.1,[NH2+]=C1N[C@@H](COC(NC)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
STX.N21.2,[NH2+]=C1N[C@@H](COC(N(C)C)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
STX.N7.1,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](N(C)C2=[NH2+])[C@]3(N2)N1CCC3(O)O
STX.N9.1,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2C)N1CCC3(O)O
STX.C10.1,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1C(C)CC3(O)O
STX.C13.1,[NH2+]=C1N[C@@H](CO)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
STX.C13.2,[NH2+]=C1N[C@@H](COC(C)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
STX.C13.3,[NH2+]=C1N[C@@H](COC(C(C)C)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
STX,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
GTX.2,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1C[C@@H](OS([O-])(=O)=O)C3(O)O
GTX.3,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1C[C@H](OS([O-])(=O)=O)C3(O)O
STX.C11.1,OCO.[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
TTX,[NH2+]=C1N[C@H](O)[C@H]([C@]([C@@H]2O)3N1)[C@@H](O[C@]2(O)O4)[C@@](O)(CO)[C@@H]4[C@H]3O
ZTX,[NH2+]=C1N[C@@]2([H])[C@](N(COC(NO)=O)C3=[NH2+])([H])[C@@]4(N3)N1C[C@@](O[S](O)([O-])=O)(C[C@H]([C@H](CO)CO5)N5C2=O)C4(O)O
STX.C11.3,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CC[C@H]3O
STX.C11.4,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CC[C@@H]3O
TTX.C4.1,[NH2+]=C1NC2[C@H]([C@]([C@@H]3O2)4N1)[C@@H](O[C@]3(O)O5)[C@@](O)(CO)[C@@H]5[C@H]4O
STX.C10.1.C13.2,[NH2+]=C1N[C@@H](COC(C)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1[C@@H](C)CC3(O)O
STX.C12.1,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3
STX.C11.6,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1C[C@H](O[S]([O-])(C)=O)C3(O)O
STX.N21.1,[NH2+]=C1N[C@@H](COC(NCCNC(CCN2C(CCC2=O)=O)=O)=O)[C@H](NC3=[NH2+])[C@]4(N3)N1CCC4(O)O
STX.N21.3,[NH2+]=C1N[C@@H](COC(NCCNC(CCN2C(CCC2=O)=O)=O)=O)[C@H](NC3=[NH2+])[C@]4(N3)N1CCC4(O)O
STX.N21.4,[NH2+]=C1N[C@@H](COC(NCCCCCCC)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
